,Search Topic,Title,Question,Votes,Views,Answerer Name,Date of Answer,Answerer Reputation Score
0,python,Layout doesn't expand more than initial size it was set using designer,"I'm trying to resize my widgets proportional to GUI window size but got stuck.
First, I put some widgets, including QVBoxLayout, using designer and load it using PyQt5.uic.loadUi().
After that I tried ...",0,16 views,Hayoung,2021-06-04 04:10:54Z,1
1,python,Split csv file into multiple csv base on date and numbers of records Python [closed],"I am attempting to split a large CSV file into smaller CSV based on the date value in a field and then 200 records in each CSV file.
Data in the file that needs to be split.
MIGRATION_DATE     ...",-4,21 views,Abhishek Parashar,2021-06-04 04:10:19Z,5
2,python,Django - The empty path didn’t match any of these,"This is the error I get when I run this code:
 python3 manage.py runserver

error message
my url.py file looks like this:
from django.contrib import admin
from django.urls import path
from django....",-1,12 views,Lux,2021-06-04 04:10:10Z,1
3,python,How to get value of link in this dict? [closed],"here is a dict
{'result': [{'type': 'video', 'id': 'H2oWviWV9r4', 'title': 'Tokyo Ghoul - Unravel [Lyrics] 2019', 'publishedTime': '2 years ago', 'duration': '4:01', 'viewCount': {'text': '8,385,920 ...",-1,17 views,user15914159,2021-06-04 04:09:14Z,56
4,python,Flat json to nested json python,"I want to convert input json to nested json defined, I am not able to think of any json library which help me achieve this
Input json
[{'Name': 'John', 'state': 'Boston', 'currency': 'USD', 'marks': ...",0,31 views,Code run,2021-06-04 04:09:03Z,95
5,python,How to interpolate a new point in the direction of a known points,I am trying to interpolate a new point from a known point in 3D space. I tried to add a arbitrary number and multiplied by the unit vector. But My new point is too far way and the direction is not ...,0,21 views,Lp81194,2021-06-04 04:08:57Z,11
6,python,System stops responding while trying to import heavy python file,I am using python to create a self checkout kiosk application but it has a very bloated (inefficient) main screen where the user selects the items. When passing between the main menu and the main ...,0,24 views,Matthew,2021-06-04 04:07:25Z,1
7,python,TypeError: unsupported operand type(s) for ** or pow(): 'int' and 'set',"Question:
Without using any string methods, try to print the following:
123...n
Note that ""..."" represents the consecutive values in between.
Example
n=5
Prints 12345.
my solution
n = int(...",-1,34 views,CrazyChucky,2021-06-04 04:06:27Z,"1,705"
8,python,How to generate UML diagrams for Python scripts,"I've done some class diagramming with erdantic. It's pretty limited but it's pretty easy to access and diagram out classes quickly in .png form.
However, I'm looking for something higher level, so I ...",-1,14 views,Hofbr,2021-06-04 04:04:52Z,387
9,python,how to extract data in paragraph using regex,"I need the data S S DISTRIBUTOR. Customer reference number will repeat after the sentence, The Customer reference number will contains mixed numbers and alphabets or only numbers.
If there is any ...",0,7 views,Harish pavuluri,2021-06-04 04:04:22Z,1
10,python,How to convert very small numbers from strings to floats properly in Python?,"I have a number like this:
n = ""0.000016495822225857""

but after converting this to a float using:
num = float(n)

I get:
1.64958e+13

My number is less than 1, how can I convert it properly ...",1,17 views,BuddyBob,2021-06-04 04:04:03Z,"4,246"
11,python,How to validate list items when they change in a pydantic model?,"I have a List in a pydantic model. I'd like my custom validator to run when the list changes (not only on assignment).
from typing import List
from pydantic import BaseModel, validator

class A(...",1,41 views,YeJun,2021-06-04 04:02:43Z,11
12,python,Python: How to split each string into new row with some string concatenation,"This is my df which consists of 3 columns. I roughly know how to split strings into a new line using stack and unstack. However, I'm wondering how I can retain the ""prefix"" (which might not ...",2,37 views,Gabriel Choo,2021-06-04 04:01:50Z,21
13,python,How to execute this druid query with python script (code included)?,"This is my SQL query (it takes the average ""value"" over an hour for a specific device/metric combination) for a certain time period.
SELECT TIME_FLOOR(__time, 'PT1h') AS ""...",0,19 views,carsof,2021-06-04 03:59:50Z,1
14,python,how to add links to navigation bar,I'm making a blog web site using django and I add a sticky navigation bar to web site and also it work pretty well but want add links to menu in the navigation bar.I can't do it because there already ...,0,11 views,Dtheekshana,2021-06-04 03:59:22Z,15
15,python,How to install the 'glob' module?,"I am running ubuntu 14.04 and trying to launch ROS Simulator. I have this error:

ImportError: No module named 'glob'
Installing glob2 does not solve the problem.

python -m site output:

sys.path = [...",14,72k views,Shashank V M,2021-06-04 03:57:38Z,130
